UID,Vendor_Name,Part_Type,Batch_Code,Manufacturing_Date,Last_Inspection_Date,Warranty_End_Date,Status,AI_Analysis
RC25LB72500051,Kent-Young,GFN Liner,B725,03-05-2025,18-05-2025,02-05-2030,OK,Performance nominal.
PP25PB43400052,"Wright, West and James",Rail Pad,B434,21-08-2025,06-09-2025,20-08-2030,FLAGGED,High failure rate predicted for this batch.
SI25CB96900053,Wright Ltd,Elastic Rail Clip,B969,03-01-2025,18-01-2025,02-01-2030,OK,Performance nominal.
TS25CB73300054,"Cortez, Marsh and Nelson",Elastic Rail Clip,B733,12-06-2025,27-06-2025,11-06-2030,OK,Performance nominal.
TS25PB90900055,"Cortez, Marsh and Nelson",Rail Pad,B909,23-04-2025,05-05-2025,22-04-2030,OK,Performance nominal.
PP25PB54000056,"Wright, West and James",Rail Pad,B540,04-03-2025,23-03-2025,03-03-2030,OK,Performance nominal.
RC25CB80700057,Kent-Young,Elastic Rail Clip,B807,12-04-2025,24-04-2025,11-04-2030,OK,Performance nominal.
SI25CB80800058,Wright Ltd,Elastic Rail Clip,B808,10-04-2025,15-04-2025,09-04-2030,OK,Performance nominal.
RC25PB20300059,Kent-Young,Rail Pad,B203,10-07-2025,19-07-2025,09-07-2030,OK,Performance nominal.
TS25CB64900060,"Cortez, Marsh and Nelson",Elastic Rail Clip,B649,08-04-2025,13-04-2025,07-04-2030,OK,Performance nominal.
SI25CB58500061,Wright Ltd,Elastic Rail Clip,B585,05-06-2025,10-06-2025,04-06-2030,OK,Performance nominal.
TS25CB53000062,"Cortez, Marsh and Nelson",Elastic Rail Clip,B530,15-08-2025,22-08-2025,14-08-2030,OK,Performance nominal.
SI25LB66600063,Wright Ltd,GFN Liner,B666,04-04-2025,18-04-2025,03-04-2030,OK,Performance nominal.
SI25PB46300064,Wright Ltd,Rail Pad,B463,22-07-2025,01-08-2025,21-07-2030,OK,Performance nominal.
RC25PB49200065,Kent-Young,Rail Pad,B492,01-03-2025,09-03-2025,28-02-2030,OK,Performance nominal.
TS25CB16700066,"Cortez, Marsh and Nelson",Elastic Rail Clip,B167,27-05-2025,06-06-2025,26-05-2030,FLAGGED,High failure rate predicted for this batch.
PP25LB24500067,"Wright, West and James",GFN Liner,B245,05-04-2025,14-04-2025,04-04-2030,OK,Performance nominal.
SI25CB42400068,Wright Ltd,Elastic Rail Clip,B424,19-03-2025,27-03-2025,18-03-2030,OK,Performance nominal.
RC25CB18300069,Kent-Young,Elastic Rail Clip,B183,19-06-2025,02-07-2025,18-06-2030,OK,Performance nominal.
PP25CB70400070,"Wright, West and James",Elastic Rail Clip,B704,10-03-2025,15-03-2025,09-03-2030,OK,Performance nominal.
SI25CB96400071,Wright Ltd,Elastic Rail Clip,B964,15-08-2025,27-08-2025,14-08-2030,OK,Performance nominal.
PP25PB35300072,"Wright, West and James",Rail Pad,B353,05-03-2025,21-03-2025,04-03-2030,OK,Performance nominal.
SI25CB94200073,Wright Ltd,Elastic Rail Clip,B942,06-08-2025,15-08-2025,05-08-2030,OK,Performance nominal.
PP25PB18900074,"Wright, West and James",Rail Pad,B189,01-02-2025,13-02-2025,31-01-2030,FLAGGED,High failure rate predicted for this batch.
TS25LB66300075,"Cortez, Marsh and Nelson",GFN Liner,B663,28-01-2025,12-02-2025,27-01-2030,OK,Performance nominal.
RC25PB72400076,Kent-Young,Rail Pad,B724,03-01-2025,18-01-2025,02-01-2030,OK,Performance nominal.
PP25PB94800077,"Wright, West and James",Rail Pad,B948,21-06-2025,09-07-2025,20-06-2030,OK,Performance nominal.
TS25CB30000078,"Cortez, Marsh and Nelson",Elastic Rail Clip,B300,11-08-2025,28-08-2025,10-08-2030,OK,Performance nominal.
SI25LB78400079,Wright Ltd,GFN Liner,B784,10-06-2025,16-06-2025,09-06-2030,FLAGGED,High failure rate predicted for this batch.
RC25LB74900080,Kent-Young,GFN Liner,B749,14-07-2025,31-07-2025,13-07-2030,OK,Performance nominal.
PP25PB42000081,"Wright, West and James",Rail Pad,B420,06-02-2025,12-02-2025,05-02-2030,OK,Performance nominal.
TS25LB86100082,"Cortez, Marsh and Nelson",GFN Liner,B861,14-06-2025,20-06-2025,13-06-2030,OK,Performance nominal.
SI25PB92100083,Wright Ltd,Rail Pad,B921,04-02-2025,12-02-2025,03-02-2030,OK,Performance nominal.
SI25PB37100084,Wright Ltd,Rail Pad,B371,21-07-2025,27-07-2025,20-07-2030,OK,Performance nominal.
PP25PB60300085,"Wright, West and James",Rail Pad,B603,12-03-2025,20-03-2025,11-03-2030,FLAGGED,High failure rate predicted for this batch.
SI25LB12500086,Wright Ltd,GFN Liner,B125,27-06-2025,06-07-2025,26-06-2030,FLAGGED,High failure rate predicted for this batch.
PP25PB72500087,"Wright, West and James",Rail Pad,B725,07-06-2025,25-06-2025,06-06-2030,OK,Performance nominal.
TS25LB15100088,"Cortez, Marsh and Nelson",GFN Liner,B151,21-07-2025,10-08-2025,20-07-2030,FLAGGED,High failure rate predicted for this batch.
SI25PB95300089,Wright Ltd,Rail Pad,B953,20-07-2025,29-07-2025,19-07-2030,OK,Performance nominal.
RC25CB19900090,Kent-Young,Elastic Rail Clip,B199,19-07-2025,30-07-2025,18-07-2030,OK,Performance nominal.
PP25LB36300091,"Wright, West and James",GFN Liner,B363,08-04-2025,21-04-2025,07-04-2030,OK,Performance nominal.
SI25PB69100092,Wright Ltd,Rail Pad,B691,15-04-2025,27-04-2025,14-04-2030,OK,Performance nominal.
SI25CB35200093,Wright Ltd,Elastic Rail Clip,B352,24-04-2025,12-05-2025,23-04-2030,OK,Performance nominal.
RC25LB58500094,Kent-Young,GFN Liner,B585,04-06-2025,11-06-2025,03-06-2030,OK,Performance nominal.
TS25PB59600095,"Cortez, Marsh and Nelson",Rail Pad,B596,08-02-2025,24-02-2025,07-02-2030,OK,Performance nominal.
PP25CB83800096,"Wright, West and James",Elastic Rail Clip,B838,26-04-2025,13-05-2025,25-04-2030,FLAGGED,High failure rate predicted for this batch.
SI25CB99200097,Wright Ltd,Elastic Rail Clip,B992,14-04-2025,19-04-2025,13-04-2030,OK,Performance nominal.
SI25CB70500098,Wright Ltd,Elastic Rail Clip,B705,15-08-2025,04-09-2025,14-08-2030,OK,Performance nominal.
TS25LB60200099,"Cortez, Marsh and Nelson",GFN Liner,B602,18-06-2025,23-06-2025,17-06-2030,OK,Performance nominal.
TS25CB23800100,"Cortez, Marsh and Nelson",Elastic Rail Clip,B238,18-06-2025,29-06-2025,17-06-2030,OK,Performance nominal.
SI25LB15100101,Wright Ltd,GFN Liner,B151,11-03-2025,26-03-2025,10-03-2030,OK,Performance nominal.
SI25LB17400102,Wright Ltd,GFN Liner,B174,25-05-2025,06-06-2025,24-05-2030,OK,Performance nominal.
SI25PB91500103,Wright Ltd,Rail Pad,B915,09-05-2025,28-05-2025,08-05-2030,OK,Performance nominal.
RC25PB20400104,Kent-Young,Rail Pad,B204,06-04-2025,15-04-2025,05-04-2030,OK,Performance nominal.
PP25PB50900105,"Wright, West and James",Rail Pad,B509,11-08-2025,24-08-2025,10-08-2030,OK,Performance nominal.
TS25LB90700106,"Cortez, Marsh and Nelson",GFN Liner,B907,27-04-2025,11-05-2025,26-04-2030,OK,Performance nominal.
SI25CB40400107,Wright Ltd,Elastic Rail Clip,B404,13-02-2025,20-02-2025,12-02-2030,FLAGGED,High failure rate predicted for this batch.
RC25LB66300108,Kent-Young,GFN Liner,B663,20-07-2025,09-08-2025,19-07-2030,OK,Performance nominal.
SI25CB80700109,Wright Ltd,Elastic Rail Clip,B807,23-05-2025,03-06-2025,22-05-2030,OK,Performance nominal.
TS25CB18000110,"Cortez, Marsh and Nelson",Elastic Rail Clip,B180,25-07-2025,07-08-2025,24-07-2030,OK,Performance nominal.
TS25CB28600111,"Cortez, Marsh and Nelson",Elastic Rail Clip,B286,04-04-2025,10-04-2025,03-04-2030,OK,Performance nominal.
PP25PB10900112,"Wright, West and James",Rail Pad,B109,22-05-2025,05-06-2025,21-05-2030,OK,Performance nominal.
SI25LB15200113,Wright Ltd,GFN Liner,B152,02-02-2025,17-02-2025,01-02-2030,OK,Performance nominal.
TS25LB89800114,"Cortez, Marsh and Nelson",GFN Liner,B898,28-07-2025,17-08-2025,27-07-2030,OK,Performance nominal.
PP25PB84400115,"Wright, West and James",Rail Pad,B844,03-07-2025,11-07-2025,02-07-2030,OK,Performance nominal.
SI25PB87700116,Wright Ltd,Rail Pad,B877,14-01-2025,25-01-2025,13-01-2030,FLAGGED,High failure rate predicted for this batch.
TS25PB21900117,"Cortez, Marsh and Nelson",Rail Pad,B219,15-08-2025,22-08-2025,14-08-2030,FLAGGED,High failure rate predicted for this batch.
TS25LB85800118,"Cortez, Marsh and Nelson",GFN Liner,B858,17-03-2025,31-03-2025,16-03-2030,OK,Performance nominal.
TS25CB49000119,"Cortez, Marsh and Nelson",Elastic Rail Clip,B490,15-08-2025,23-08-2025,14-08-2030,OK,Performance nominal.
RC25LB65000120,Kent-Young,GFN Liner,B650,10-01-2025,22-01-2025,09-01-2030,OK,Performance nominal.
TS25CB60000121,"Cortez, Marsh and Nelson",Elastic Rail Clip,B600,22-02-2025,06-03-2025,21-02-2030,OK,Performance nominal.
TS25LB99200122,"Cortez, Marsh and Nelson",GFN Liner,B992,12-02-2025,26-02-2025,11-02-2030,OK,Performance nominal.
PP25CB19400123,"Wright, West and James",Elastic Rail Clip,B194,10-06-2025,20-06-2025,09-06-2030,FLAGGED,High failure rate predicted for this batch.
PP25PB37300124,"Wright, West and James",Rail Pad,B373,26-05-2025,07-06-2025,25-05-2030,OK,Performance nominal.
SI25LB80600125,Wright Ltd,GFN Liner,B806,11-06-2025,17-06-2025,10-06-2030,OK,Performance nominal.
RC25PB58100126,Kent-Young,Rail Pad,B581,07-04-2025,25-04-2025,06-04-2030,OK,Performance nominal.
PP25CB35800127,"Wright, West and James",Elastic Rail Clip,B358,26-02-2025,14-03-2025,25-02-2030,OK,Performance nominal.
TS25PB70700128,"Cortez, Marsh and Nelson",Rail Pad,B707,14-05-2025,23-05-2025,13-05-2030,OK,Performance nominal.
RC25PB25500129,Kent-Young,Rail Pad,B255,28-07-2025,15-08-2025,27-07-2030,OK,Performance nominal.
PP25PB50000130,"Wright, West and James",Rail Pad,B500,20-06-2025,04-07-2025,19-06-2030,OK,Performance nominal.
SI25PB14400131,Wright Ltd,Rail Pad,B144,08-04-2025,28-04-2025,07-04-2030,OK,Performance nominal.
PP25CB10400132,"Wright, West and James",Elastic Rail Clip,B104,23-07-2025,08-08-2025,22-07-2030,OK,Performance nominal.
TS25CB63200133,"Cortez, Marsh and Nelson",Elastic Rail Clip,B632,10-08-2025,21-08-2025,09-08-2030,OK,Performance nominal.
SI25LB61800134,Wright Ltd,GFN Liner,B618,20-07-2025,02-08-2025,19-07-2030,OK,Performance nominal.
SI25PB86100135,Wright Ltd,Rail Pad,B861,06-06-2025,15-06-2025,05-06-2030,OK,Performance nominal.
RC25PB27300136,Kent-Young,Rail Pad,B273,13-08-2025,21-08-2025,12-08-2030,OK,Performance nominal.
PP25CB16800137,"Wright, West and James",Elastic Rail Clip,B168,01-02-2025,06-02-2025,31-01-2030,FLAGGED,High failure rate predicted for this batch.
SI25LB31000138,Wright Ltd,GFN Liner,B310,08-03-2025,19-03-2025,07-03-2030,FLAGGED,High failure rate predicted for this batch.
PP25LB55400139,"Wright, West and James",GFN Liner,B554,06-06-2025,16-06-2025,05-06-2030,OK,Performance nominal.
SI25PB21200140,Wright Ltd,Rail Pad,B212,20-04-2025,29-04-2025,19-04-2030,OK,Performance nominal.
PP25LB30300141,"Wright, West and James",GFN Liner,B303,13-04-2025,22-04-2025,12-04-2030,OK,Performance nominal.
SI25LB75900142,Wright Ltd,GFN Liner,B759,03-02-2025,19-02-2025,02-02-2030,OK,Performance nominal.
TS25LB46100143,"Cortez, Marsh and Nelson",GFN Liner,B461,10-06-2025,28-06-2025,09-06-2030,FLAGGED,High failure rate predicted for this batch.
PP25PB60300144,"Wright, West and James",Rail Pad,B603,15-06-2025,05-07-2025,14-06-2030,FLAGGED,High failure rate predicted for this batch.
RC25LB44200145,Kent-Young,GFN Liner,B442,19-03-2025,31-03-2025,18-03-2030,OK,Performance nominal.
SI25CB29600146,Wright Ltd,Elastic Rail Clip,B296,26-08-2025,06-09-2025,25-08-2030,OK,Performance nominal.
PP25CB88200147,"Wright, West and James",Elastic Rail Clip,B882,22-06-2025,28-06-2025,21-06-2030,OK,Performance nominal.
SI25CB66300148,Wright Ltd,Elastic Rail Clip,B663,20-02-2025,01-03-2025,19-02-2030,OK,Performance nominal.
RC25PB38300149,Kent-Young,Rail Pad,B383,02-01-2025,18-01-2025,01-01-2030,OK,Performance nominal.
RC25CB48400150,Kent-Young,Elastic Rail Clip,B484,11-04-2025,28-04-2025,10-04-2030,OK,Performance nominal.
PP25PB83200151,"Wright, West and James",Rail Pad,B832,18-01-2025,04-02-2025,17-01-2030,OK,Performance nominal.
PP25PB37600152,"Wright, West and James",Rail Pad,B376,14-01-2025,26-01-2025,13-01-2030,FLAGGED,High failure rate predicted for this batch.
TS25PB27800153,"Cortez, Marsh and Nelson",Rail Pad,B278,09-07-2025,22-07-2025,08-07-2030,OK,Performance nominal.
TS25PB35400154,"Cortez, Marsh and Nelson",Rail Pad,B354,24-08-2025,07-09-2025,23-08-2030,FLAGGED,High failure rate predicted for this batch.
SI25PB20800155,Wright Ltd,Rail Pad,B208,26-08-2025,07-09-2025,25-08-2030,OK,Performance nominal.
RC25PB10800156,Kent-Young,Rail Pad,B108,03-02-2025,18-02-2025,02-02-2030,OK,Performance nominal.
SI25CB96200157,Wright Ltd,Elastic Rail Clip,B962,27-04-2025,04-05-2025,26-04-2030,OK,Performance nominal.
TS25LB85100158,"Cortez, Marsh and Nelson",GFN Liner,B851,08-05-2025,17-05-2025,07-05-2030,OK,Performance nominal.
SI25LB34400159,Wright Ltd,GFN Liner,B344,22-06-2025,03-07-2025,21-06-2030,OK,Performance nominal.
SI25LB81400160,Wright Ltd,GFN Liner,B814,19-05-2025,26-05-2025,18-05-2030,OK,Performance nominal.
RC25LB13600161,Kent-Young,GFN Liner,B136,24-01-2025,06-02-2025,23-01-2030,OK,Performance nominal.
PP25CB37600162,"Wright, West and James",Elastic Rail Clip,B376,12-03-2025,28-03-2025,11-03-2030,OK,Performance nominal.
PP25PB47700163,"Wright, West and James",Rail Pad,B477,12-04-2025,24-04-2025,11-04-2030,OK,Performance nominal.
PP25PB41100164,"Wright, West and James",Rail Pad,B411,09-06-2025,20-06-2025,08-06-2030,OK,Performance nominal.
RC25CB73300165,Kent-Young,Elastic Rail Clip,B733,03-08-2025,20-08-2025,02-08-2030,OK,Performance nominal.
RC25PB82400166,Kent-Young,Rail Pad,B824,09-08-2025,24-08-2025,08-08-2030,OK,Performance nominal.
RC25LB96200167,Kent-Young,GFN Liner,B962,26-06-2025,05-07-2025,25-06-2030,FLAGGED,High failure rate predicted for this batch.
RC25LB71200168,Kent-Young,GFN Liner,B712,09-01-2025,18-01-2025,08-01-2030,OK,Performance nominal.
PP25PB57700169,"Wright, West and James",Rail Pad,B577,17-03-2025,01-04-2025,16-03-2030,OK,Performance nominal.
PP25LB82200170,"Wright, West and James",GFN Liner,B822,04-01-2025,21-01-2025,03-01-2030,OK,Performance nominal.
SI25CB23200171,Wright Ltd,Elastic Rail Clip,B232,06-06-2025,16-06-2025,05-06-2030,OK,Performance nominal.
PP25PB85500172,"Wright, West and James",Rail Pad,B855,20-06-2025,30-06-2025,19-06-2030,FLAGGED,High failure rate predicted for this batch.
TS25PB28600173,"Cortez, Marsh and Nelson",Rail Pad,B286,21-08-2025,05-09-2025,20-08-2030,OK,Performance nominal.
PP25LB78800174,"Wright, West and James",GFN Liner,B788,23-01-2025,07-02-2025,22-01-2030,OK,Performance nominal.
RC25PB21900175,Kent-Young,Rail Pad,B219,22-08-2025,01-09-2025,21-08-2030,OK,Performance nominal.
TS25PB94100176,"Cortez, Marsh and Nelson",Rail Pad,B941,14-02-2025,01-03-2025,13-02-2030,OK,Performance nominal.
PP25CB76800177,"Wright, West and James",Elastic Rail Clip,B768,26-05-2025,12-06-2025,25-05-2030,OK,Performance nominal.
TS25CB60200178,"Cortez, Marsh and Nelson",Elastic Rail Clip,B602,05-04-2025,15-04-2025,04-04-2030,FLAGGED,High failure rate predicted for this batch.
SI25LB95500179,Wright Ltd,GFN Liner,B955,09-07-2025,29-07-2025,08-07-2030,OK,Performance nominal.
RC25PB75200180,Kent-Young,Rail Pad,B752,04-01-2025,18-01-2025,03-01-2030,FLAGGED,High failure rate predicted for this batch.
RC25LB74100181,Kent-Young,GFN Liner,B741,04-07-2025,19-07-2025,03-07-2030,OK,Performance nominal.
SI25CB11900182,Wright Ltd,Elastic Rail Clip,B119,23-03-2025,10-04-2025,22-03-2030,FLAGGED,High failure rate predicted for this batch.
RC25CB59400183,Kent-Young,Elastic Rail Clip,B594,17-07-2025,06-08-2025,16-07-2030,OK,Performance nominal.
SI25LB14400184,Wright Ltd,GFN Liner,B144,15-02-2025,07-03-2025,14-02-2030,OK,Performance nominal.
PP25CB58700185,"Wright, West and James",Elastic Rail Clip,B587,09-01-2025,20-01-2025,08-01-2030,OK,Performance nominal.
TS25CB42700186,"Cortez, Marsh and Nelson",Elastic Rail Clip,B427,25-03-2025,05-04-2025,24-03-2030,OK,Performance nominal.
SI25CB17900187,Wright Ltd,Elastic Rail Clip,B179,05-07-2025,18-07-2025,04-07-2030,OK,Performance nominal.
TS25CB77300188,"Cortez, Marsh and Nelson",Elastic Rail Clip,B773,26-06-2025,06-07-2025,25-06-2030,OK,Performance nominal.
PP25PB41900189,"Wright, West and James",Rail Pad,B419,26-07-2025,13-08-2025,25-07-2030,OK,Performance nominal.
SI25LB73900190,Wright Ltd,GFN Liner,B739,10-07-2025,19-07-2025,09-07-2030,OK,Performance nominal.
RC25CB46000191,Kent-Young,Elastic Rail Clip,B460,24-08-2025,06-09-2025,23-08-2030,FLAGGED,High failure rate predicted for this batch.
SI25LB41400192,Wright Ltd,GFN Liner,B414,25-06-2025,13-07-2025,24-06-2030,FLAGGED,High failure rate predicted for this batch.
TS25CB50800193,"Cortez, Marsh and Nelson",Elastic Rail Clip,B508,09-04-2025,18-04-2025,08-04-2030,FLAGGED,High failure rate predicted for this batch.
SI25PB91700194,Wright Ltd,Rail Pad,B917,16-05-2025,05-06-2025,15-05-2030,OK,Performance nominal.
RC25LB61800195,Kent-Young,GFN Liner,B618,01-04-2025,07-04-2025,31-03-2030,OK,Performance nominal.
TS25LB62200196,"Cortez, Marsh and Nelson",GFN Liner,B622,05-08-2025,22-08-2025,04-08-2030,FLAGGED,High failure rate predicted for this batch.
RC25PB77100197,Kent-Young,Rail Pad,B771,23-07-2025,30-07-2025,22-07-2030,FLAGGED,High failure rate predicted for this batch.
PP25PB79300198,"Wright, West and James",Rail Pad,B793,26-06-2025,04-07-2025,25-06-2030,OK,Performance nominal.
SI25PB19800199,Wright Ltd,Rail Pad,B198,24-07-2025,02-08-2025,23-07-2030,FLAGGED,High failure rate predicted for this batch.
PP25LB43400200,"Wright, West and James",GFN Liner,B434,26-07-2025,13-08-2025,25-07-2030,OK,Performance nominal.
TS25LB38700201,"Cortez, Marsh and Nelson",GFN Liner,B387,21-08-2025,07-09-2025,20-08-2030,FLAGGED,High failure rate predicted for this batch.
RC25PB33800202,Kent-Young,Rail Pad,B338,18-04-2025,24-04-2025,17-04-2030,FLAGGED,High failure rate predicted for this batch.
TS25LB88300203,"Cortez, Marsh and Nelson",GFN Liner,B883,16-07-2025,26-07-2025,15-07-2030,OK,Performance nominal.
SI25LB92500204,Wright Ltd,GFN Liner,B925,20-08-2025,08-09-2025,19-08-2030,OK,Performance nominal.
TS25LB47600205,"Cortez, Marsh and Nelson",GFN Liner,B476,13-04-2025,26-04-2025,12-04-2030,OK,Performance nominal.
SI25LB15100206,Wright Ltd,GFN Liner,B151,16-08-2025,31-08-2025,15-08-2030,OK,Performance nominal.
PP25LB84500207,"Wright, West and James",GFN Liner,B845,08-06-2025,22-06-2025,07-06-2030,OK,Performance nominal.
PP25LB30100208,"Wright, West and James",GFN Liner,B301,16-03-2025,26-03-2025,15-03-2030,OK,Performance nominal.
SI25LB16200209,Wright Ltd,GFN Liner,B162,21-03-2025,28-03-2025,20-03-2030,FLAGGED,High failure rate predicted for this batch.
TS25LB33800210,"Cortez, Marsh and Nelson",GFN Liner,B338,04-08-2025,18-08-2025,03-08-2030,FLAGGED,High failure rate predicted for this batch.
PP25PB18000211,"Wright, West and James",Rail Pad,B180,03-04-2025,19-04-2025,02-04-2030,OK,Performance nominal.
SI25CB29500212,Wright Ltd,Elastic Rail Clip,B295,12-08-2025,17-08-2025,11-08-2030,OK,Performance nominal.
SI25LB24500213,Wright Ltd,GFN Liner,B245,28-01-2025,03-02-2025,27-01-2030,OK,Performance nominal.
PP25CB15800214,"Wright, West and James",Elastic Rail Clip,B158,26-08-2025,09-09-2025,25-08-2030,OK,Performance nominal.
TS25PB81500215,"Cortez, Marsh and Nelson",Rail Pad,B815,27-03-2025,02-04-2025,26-03-2030,FLAGGED,High failure rate predicted for this batch.
